CTI	21/08/2012 03:59:40 +00:00
CTI	21/08/2012 04:00:00 +00:00
INSERT	21/08/2012 04:00:00 +00:00,1,0.00420502277625474,1,-0.00873973277352999	
CTI	21/08/2012 04:00:20 +00:00
INSERT	21/08/2012 04:00:20 +00:00,1,-0.00420502277625462,1,0.0182869251731878	
CTI	21/08/2012 04:00:40 +00:00
INSERT	21/08/2012 04:00:40 +00:00,1,0.00420502277625419,1,-0.0121113433937244	
CTI	21/08/2012 04:01:00 +00:00
INSERT	21/08/2012 04:01:00 +00:00,1,-0.00420502277625521,1,0.0153556946721415	
CTI	21/08/2012 04:01:20 +00:00
INSERT	21/08/2012 04:01:20 +00:00,1,0.00420502277625165,1,-0.00816148878362006	
CTI	21/08/2012 04:01:40 +00:00
INSERT	21/08/2012 04:01:40 +00:00,1,-0.00420502277625042,1,0.00320615915522275	
CTI	21/08/2012 04:02:00 +00:00
INSERT	21/08/2012 04:02:00 +00:00,1,0.00420502277625029,1,0.000271929874875419	
CTI	21/08/2012 04:02:20 +00:00
INSERT	21/08/2012 04:02:20 +00:00,1,-0.00420502277625243,1,-0.0109468189552144	
CTI	21/08/2012 04:02:40 +00:00
INSERT	21/08/2012 04:02:40 +00:00,1,0.00420502277625236,1,0.0087397327735253	
CTI	21/08/2012 04:03:00 +00:00
INSERT	21/08/2012 04:03:00 +00:00,1,-0.00420502277625214,1,-0.0182869251731852	
CTI	31/12/9999 23:59:59 +00:00
